Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
2023-10-17,ECU,AIDEE,2023-04-06T15:00:00Z,2023-11-24T05:00:00Z,TUNA_PURSE_SEINES,FISHING,735059463,,HC5568,2017-05-02T15:24:35Z,2024-11-12T23:58:24Z,0.75
2023-12-02,ECU,GRINGA JACKY,2023-10-18T18:00:00Z,2023-12-28T16:00:00Z,FISHING,FISHING,735059445,,HC-5897,2023-08-20T04:07:54Z,2024-11-09T22:16:13Z,6.33
2023-01-04,ECU,TINTORERA,2023-01-03T13:00:00Z,2023-04-15T17:00:00Z,FISHING,FISHING,735059515,,HC-5964,2020-05-31T16:10:36Z,2024-03-08T18:17:43Z,21.65
2023-01-25,PAN,B/P-EL MARQUEZ,2023-01-25T14:00:00Z,2023-09-01T14:00:00Z,TUNA_PURSE_SEINES,FISHING,371775000,7515652,HO3272,2019-06-07T14:59:42Z,2024-11-12T23:56:38Z,0.24
2023-02-05,ECU,GLORIA C,2023-01-16T11:00:00Z,2023-05-05T22:00:00Z,FISHING,FISHING,735023497,7325174,HC2603,2021-03-27T17:14:51Z,2024-10-08T07:49:53Z,17.66
2023-02-28,PAN,CONNIE JEAN TWO,2023-02-28T10:00:00Z,2023-10-11T08:00:00Z,TUNA_PURSE_SEINES,FISHING,351813000,,HC06801,2018-11-30T19:28:08Z,2024-10-29T23:10:57Z,0.78
2023-03-28,ECU,LUCY,2023-02-21T21:00:00Z,2023-12-21T19:00:00Z,TUNA_PURSE_SEINES,FISHING,735057557,,HC2723,2021-01-18T22:20:06Z,2024-11-12T23:59:27Z,0.18
2023-05-13,ECU,JOTA JOTA,2023-04-07T06:00:00Z,2023-10-01T19:00:00Z,DRIFTING_LONGLINES,FISHING,735058780,,HC2508,2022-01-03T17:28:38Z,2024-11-12T23:56:26Z,1.13
2023-05-07,ECU,GOLD TUNA,2023-05-06T14:00:00Z,2023-05-07T16:00:00Z,TUNA_PURSE_SEINES,FISHING,735057570,,HC42O6,2021-01-15T19:48:41Z,2024-07-11T03:16:14Z,0.87
2023-05-22,ECU,LUCY,2023-02-21T21:00:00Z,2023-12-21T19:00:00Z,TUNA_PURSE_SEINES,FISHING,735057557,,HC2723,2021-01-18T22:20:06Z,2024-11-12T23:59:27Z,1.07
