Lat,Lon,Time Range,flag,Vessel IDs,Apparent Fishing Hours
0.180000,-93.400000,2023-07-10,ECU,1,0.63
3.470000,-93.890000,2023-07-09,PAN,1,1.14
3.250000,-94.020000,2023-07-09,PAN,1,0.63
2.700000,-93.440000,2023-07-19,ECU,1,1.01
2.560000,-93.180000,2023-07-18,ECU,1,1.34
1.930000,-87.290000,2023-07-23,ECU,1,1.02
1.250000,-86.930000,2023-07-15,ECU,1,0.06
-0.900000,-89.610000,2023-07-29,ECU,1,3.41
-1.460000,-94.210000,2023-07-14,ECU,1,0.99
-1.370000,-94.640000,2023-07-08,ECU,1,1.30
-1.320000,-94.520000,2023-07-05,ECU,1,1.02
-1.250000,-94.640000,2023-07-04,ECU,1,0.87
-1.150000,-94.560000,2023-07-06,ECU,1,0.98
-2.910000,-90.490000,2023-07-03,ECU,1,1.10
-0.780000,-89.520000,2023-07-30,ECU,2,4.95
-0.220000,-94.660000,2023-07-08,ECU,1,0.45
-2.410000,-89.970000,2023-07-03,ECU,1,0.27
-1.970000,-92.600000,2023-07-02,ECU,1,0.76
-1.400000,-89.620000,2023-07-19,ECU,1,2.95
-1.740000,-88.320000,2023-07-11,ECU,1,0.18
-1.070000,-90.210000,2023-07-05,ECU,1,0.25
-0.830000,-94.180000,2023-07-20,ECU,1,0.99
-0.920000,-86.670000,2023-07-13,ECU,1,1.10
-1.560000,-94.350000,2023-07-25,ECU,1,1.12
-2.350000,-91.150000,2023-07-08,ECU,1,2.03
-0.410000,-92.470000,2023-07-15,PAN,1,0.99
-1.860000,-94.230000,2023-07-16,ECU,1,1.00
-1.560000,-93.980000,2023-07-17,ECU,1,1.07
-0.680000,-94.340000,2023-07-01,ECU,1,0.68
-1.330000,-94.780000,2023-07-23,ECU,1,0.76
-0.240000,-94.380000,2023-07-02,ECU,1,1.11
-0.780000,-89.480000,2023-07-04,ECU,1,1.08
-0.760000,-89.480000,2023-07-05,ECU,1,0.42
-0.980000,-90.870000,2023-07-20,ECU,1,0.33
-0.580000,-90.140000,2023-07-21,ECU,1,2.17
0.830000,-87.170000,2023-09-03,ECU,1,0.92
-1.350000,-89.610000,2023-08-20,ECU,1,0.10
-1.910000,-93.600000,2023-08-29,ECU,1,1.15
-2.010000,-93.450000,2023-08-28,ECU,1,0.80
-0.780000,-94.860000,2023-08-09,ECU,1,1.78
-2.060000,-93.160000,2023-08-13,ECU,1,2.56
-2.330000,-92.200000,2023-08-14,ECU,1,0.68
-1.220000,-94.790000,2023-08-09,ECU,1,1.00
-1.020000,-94.910000,2023-08-07,ECU,1,2.69
-1.100000,-94.880000,2023-08-09,ECU,1,1.37
-0.390000,-90.360000,2023-08-17,ECU,1,0.10
-0.810000,-89.540000,2023-08-07,ECU,1,1.00
-1.010000,-90.880000,2023-08-22,ECU,1,0.50
-1.280000,-94.230000,2023-08-07,ECU,1,1.11
-1.360000,-93.870000,2023-08-03,ECU,1,0.76
-1.190000,-94.000000,2023-08-04,ECU,1,1.06
-0.730000,-90.720000,2023-08-16,ECU,1,3.00
-0.380000,-90.430000,2023-08-10,ECU,1,1.75
-0.770000,-94.430000,2023-08-04,ECU,1,1.01
-0.840000,-93.610000,2023-08-06,ECU,1,0.95
-0.600000,-93.500000,2023-08-05,ECU,1,0.95
-0.400000,-90.450000,2023-08-15,ECU,1,1.00
-0.550000,-90.530000,2023-08-28,ECU,1,1.00
-4.320000,-89.950000,2023-08-15,ECU,1,0.08
-2.920000,-87.460000,2023-08-28,ECU,1,1.15
-0.760000,-90.570000,2023-08-11,ECU,1,1.50
-0.270000,-91.440000,2023-08-13,ECU,1,1.83
-2.810000,-92.690000,2023-08-10,ECU,1,2.33
-1.250000,-94.410000,2023-08-14,ECU,1,0.92
-0.980000,-90.740000,2023-08-23,ECU,1,1.08
-1.240000,-93.940000,2023-08-07,,1,0.90
-1.140000,-93.970000,2023-08-09,,1,0.59
-0.970000,-92.390000,2023-08-23,,1,0.99
-1.170000,-94.100000,2023-08-10,,1,0.74
-0.770000,-92.360000,2023-08-20,,1,0.98
-0.600000,-91.100000,2023-08-15,ECU,1,1.17
-1.390000,-89.710000,2023-08-17,ECU,1,1.16
