lat,lon,MODISA_L3m_SST4_Monthly_9km_R2019_0_sst4
-55.70833969116211,-66.54166412353516,8.263
-55.70833969116211,-66.45833587646484,8.1
-55.70833969116211,-66.375,8.064
-55.70833969116211,-66.29166412353516,7.851
-55.70833969116211,-66.20833587646484,7.5889997
-55.70833969116211,-66.125,7.383
-55.70833969116211,-66.04166412353516,7.0649996
-55.70833969116211,-65.95833587646484,6.779
-55.70833969116211,-65.875,6.585
-55.70833969116211,-65.79166412353516,6.582
-55.70833969116211,-65.70833587646484,6.6289997
-55.70833969116211,-65.625,6.591
-55.70833969116211,-65.54166412353516,6.5239997
-55.70833969116211,-65.45833587646484,6.4639997
-55.70833969116211,-65.375,6.415
-55.70833969116211,-65.29166412353516,6.403
-55.70833969116211,-65.20833587646484,6.3459997
-55.70833969116211,-65.125,6.265
-55.70833969116211,-65.04166412353516,6.271
-55.70833969116211,-64.95833587646484,6.24
-55.70833969116211,-64.875,6.132
-55.70833969116211,-64.79166412353516,6.067
-55.70833969116211,-64.70833587646484,6.067
-55.70833969116211,-64.625,6.0379996
-55.70833969116211,-64.54166412353516,5.998
-55.70833969116211,-64.45833587646484,5.966
-55.70833969116211,-64.375,5.9449997
-55.70833969116211,-64.29166412353516,5.8729997
-55.70833969116211,-64.20833587646484,5.8059998
-55.70833969116211,-64.125,5.758
-55.70833969116211,-64.04166412353516,5.7209997
-55.70833969116211,-63.95833206176758,5.7009997
-55.70833969116211,-63.874996185302734,5.7289996
-55.70833969116211,-63.79166030883789,5.7629995
-55.70833969116211,-63.70833206176758,5.763
-55.70833969116211,-63.624996185302734,5.788
-55.70833969116211,-63.54166030883789,5.784
-55.70833969116211,-63.45833206176758,5.724
-55.70833969116211,-63.374996185302734,5.7409997
-55.70833969116211,-63.29166030883789,5.6169996
-55.70833969116211,-63.20833206176758,5.5969996
-55.70833969116211,-63.124996185302734,5.746
-55.70833969116211,-63.04166030883789,5.8459997
-55.70833969116211,-62.95833206176758,5.823
-55.70833969116211,-62.874996185302734,5.823
-55.70833969116211,-62.79166030883789,5.863
-55.70833969116211,-62.70833206176758,5.845
-55.70833969116211,-62.624996185302734,5.8269997
-55.70833969116211,-62.54166030883789,5.863
-55.70833969116211,-62.45833206176758,5.8599997
-55.70833969116211,-62.374996185302734,5.836
-55.70833969116211,-62.29166030883789,5.85
-55.70833969116211,-62.20833206176758,5.897
-55.70833969116211,-62.124996185302734,5.929
-55.70833969116211,-62.04166030883789,5.94
-55.70833969116211,-61.95833206176758,6.002
-55.70833969116211,-61.874996185302734,6.036
-55.70833969116211,-61.79166030883789,6.007
-55.70833969116211,-61.70833206176758,5.928
-55.70833969116211,-61.624996185302734,5.867
-55.70833969116211,-61.54166030883789,5.874
-55.70833969116211,-61.45833206176758,5.8929996
-55.70833969116211,-61.374996185302734,5.961
-55.70833969116211,-61.29166030883789,6.0449996
-55.70833969116211,-61.20833206176758,6.054
-55.70833969116211,-61.124996185302734,6.052
-55.70833969116211,-61.04166030883789,6.034
-55.70833969116211,-60.95833206176758,5.9769998
-55.70833969116211,-60.874996185302734,5.995
-55.70833969116211,-60.79166030883789,6.065
-55.70833969116211,-60.70833206176758,6.069
-55.70833969116211,-60.624996185302734,6.105
-55.70833969116211,-60.54166030883789,6.1289997
-55.70833969116211,-60.45833206176758,6.07
-55.70833969116211,-60.374996185302734,6.1039996
-55.70833969116211,-60.29166030883789,6.1309996
-55.70833969116211,-60.20833206176758,6.196
-55.70833969116211,-60.124996185302734,6.2
-55.70833969116211,-60.04166030883789,6.23
-55.70833969116211,-59.95833206176758,6.232
-55.70833969116211,-59.874996185302734,6.238
-55.70833969116211,-59.79166030883789,6.2609997
-55.70833969116211,-59.70833206176758,6.285
-55.70833969116211,-59.624996185302734,6.347
-55.70833969116211,-59.54166030883789,6.426
-55.70833969116211,-59.45833206176758,6.4719996
-55.70833969116211,-59.374996185302734,6.5059996
-55.70833969116211,-59.29166030883789,6.4909997
-55.70833969116211,-59.20833206176758,6.457
-55.70833969116211,-59.124996185302734,6.4459996
-55.70833969116211,-59.04166030883789,6.46
-55.70833969116211,-58.95833206176758,6.506
-55.70833969116211,-58.874996185302734,6.5179996
-55.70833969116211,-58.79166030883789,6.488
-55.70833969116211,-58.70833206176758,6.5109997
-55.70833969116211,-58.624996185302734,6.546
-55.70833969116211,-58.54166030883789,6.5779996
-55.70833969116211,-58.45833206176758,6.631
-55.70833969116211,-58.374996185302734,6.68
-55.70833969116211,-58.29166030883789,6.631
-55.70833969116211,-58.20833206176758,6.6019998
-55.70833969116211,-58.124996185302734,6.621
-55.70833969116211,-58.04166030883789,6.608
-55.70833969116211,-57.95833206176758,6.634
-55.70833969116211,-57.874996185302734,6.646
-55.70833969116211,-57.79166030883789,6.6219997
-55.70833969116211,-57.70833206176758,6.615
-55.70833969116211,-57.624996185302734,6.646
-55.70833969116211,-57.54166030883789,6.685
-55.70833969116211,-57.45833206176758,6.717
-55.70833969116211,-57.374996185302734,6.712
-55.70833969116211,-57.29166030883789,6.706
-55.70833969116211,-57.20833206176758,6.724
-55.70833969116211,-57.124996185302734,6.652
-55.70833969116211,-57.04166030883789,6.5849996
-55.70833969116211,-56.95833206176758,6.592
-55.70833969116211,-56.874996185302734,6.62
-55.70833969116211,-56.79166030883789,6.677
-55.70833969116211,-56.70833206176758,6.632
-55.70833969116211,-56.624996185302734,6.5899997
-55.70833969116211,-56.54166030883789,6.495
-55.70833969116211,-56.45833206176758,6.437
-55.70833969116211,-56.374996185302734,6.409
-55.70833969116211,-56.29166030883789,6.381
-55.70833969116211,-56.20833206176758,6.401
-55.70833969116211,-56.124996185302734,6.3669996
-55.70833969116211,-56.04166030883789,6.3059998
-55.70833969116211,-55.95833206176758,6.2599998
-55.70833969116211,-55.874996185302734,6.2139997
-55.70833969116211,-55.79166030883789,6.23
-55.70833969116211,-55.70833206176758,6.2359996
-55.70833969116211,-55.624996185302734,6.068
